id,category,subCategory,product,subject,description,specialOfferPrice,specialPriceStart,specialPriceEnd,specialPriceActive,salePrice,listedPrice,quantity,rebate,inStock,manufactureModelNumber,barCode,pageLocator,active
,Electronics,Appliances,Samsung 32.5 cu. Refrigerator,Samsung 32.5 cu. Refrigerator,Samsung 32.5 cu. Refrigerator,566.99,6/23/13,8/23/13,y,515.99,664.99,115,,y,123456919,123456919,,y
,Electronics,Appliances,Maytag 31.5 cu. Refrigerator,Maytag 31.5 cu. Refrigerator,Maytag 31.5 cu. Refrigerator,571.99,6/24/13,8/24/13,y,520.99,669.99,120,,y,123456929,123456929,,y
,Mobile,iOS iPhone,iPhone 16gb,iPhone 16gb,iPhone 16gb,576.99,6/25/13,8/25/13,y,525.99,674.99,125,,y,123456939,123456939,,y
,Mobile,iOS iPhone,iPhone 32gb,iPhone 32gb,iPhone 32gb,581.99,6/26/13,8/26/13,y,530.99,679.99,130,,y,123456949,123456949,,y
,Mobile,iOS iPhone,iPhone 64gb,iPhone 64gb,iPhone 64gb,586.99,6/27/13,8/27/13,y,535.99,684.99,135,,y,123456959,123456959,,y
,Mobile,iOS iPhone,iPhone 32gb Unlocked,iPhone 32gb Unlocked,iPhone 32gb Unlocked,591.99,6/28/13,8/28/13,y,540.99,689.99,140,,y,123456969,123456969,,y
,Mobile,iOS iPhone,iPhone 64gb Unlocked,iPhone 64gb Unlocked,iPhone 64gb Unlocked,596.99,6/29/13,8/29/13,y,545.99,694.99,145,,y,123456979,123456979,,y
,Mobile,iOS iPad,iPad 32gb,iPad 32gb,iPad 32gb,601.99,6/30/13,8/30/13,y,550.99,699.99,150,,y,123456989,123456989,,y
,Mobile,iOS iPad,iPad 32gb AT&T,iPad 32gb AT&T,iPad 32gb AT&T,606.99,7/1/13,8/31/13,y,555.99,704.99,155,,y,123456999,123456999,,y
,Mobile,iOS iPad,iPad 64gb,iPad 64gb,iPad 64gb,611.99,7/2/13,9/1/13,y,560.99,709.99,160,,y,123457009,123457009,,y
,Mobile,iOS iPad,iPad 64gb AT&T,iPad 64gb AT&T,iPad 64gb AT&T,616.99,7/3/13,9/2/13,y,565.99,714.99,165,,y,123457019,123457019,,y
,Mobile,iOS iPad,iPad 16gb,iPad 16gb,iPad 16gb,621.99,7/4/13,9/3/13,y,570.99,719.99,170,,y,123457029,123457029,,y
,Mobile,Android Smartphone,HTC One,HTC One,HTC One,626.99,7/5/13,9/4/13,y,575.99,724.99,175,,y,123457039,123457039,,y
,Mobile,Android Smartphone,Samsung Galaxy S4,Samsung Galaxy S4,Samsung Galaxy S4,631.99,7/6/13,9/5/13,y,580.99,729.99,180,,y,123457049,123457049,,y
,Mobile,Android Smartphone,Samsung Galaxy S3,Samsung Galaxy S3,Samsung Galaxy S3,636.99,7/7/13,9/6/13,y,585.99,734.99,185,,y,123457059,123457059,,y
,Mobile,Android Smartphone,Motorola HD Maxx,Motorola HD Maxx,Motorola HD Maxx,641.99,7/8/13,9/7/13,y,590.99,739.99,190,,y,123457069,123457069,,y
,Mobile,Android Smartphone,LG Nexus 4,LG Nexus 4,LG Nexus 4,646.99,7/9/13,9/8/13,y,595.99,744.99,195,,y,123457079,123457079,,y
,Mobile,Android Tablet,Samsung Tab 7.0,Samsung Tab 7.0,Samsung Tab 7.0,651.99,7/10/13,9/9/13,y,600.99,749.99,200,,y,123457089,123457089,,y
,Mobile,Android Tablet,Samsung Tab 10.1,Samsung Tab 10.1,Samsung Tab 10.1,656.99,7/11/13,9/10/13,y,605.99,754.99,205,,y,123457099,123457099,,y
,Mobile,Android Tablet,HTC One 10,HTC One 10,HTC One 10,661.99,7/12/13,9/11/13,y,610.99,759.99,210,,y,123457109,123457109,,y
,Mobile,Android Tablet,Asus Nexus,Asus Nexus,Asus Nexus,666.99,7/13/13,9/12/13,y,615.99,764.99,215,,y,123457119,123457119,,y
,Mobile,Android Tablet,LG Prime,LG Prime,LG Prime,671.99,7/14/13,9/13/13,y,620.99,769.99,220,,y,123457129,123457129,,y
,Appliances,Dishwasher,Whirlpool 30 cu,Whirlpool 30 cu,Whirlpool 30 cu,676.99,7/15/13,9/14/13,y,625.99,774.99,225,,y,123457139,123457139,,y
,Appliances,Dishwasher,Whirlpool 31.5 cu,Whirlpool 31.5 cu,Whirlpool 31.5 cu,681.99,7/16/13,9/15/13,y,630.99,779.99,230,,y,123457149,123457149,,y
,Appliances,Dishwasher,Kenmore 33.5 cu,Kenmore 33.5 cu,Kenmore 33.5 cu,686.99,7/17/13,9/16/13,y,635.99,784.99,235,,y,123457159,123457159,,y
,Appliances,Dishwasher,Kenmore 32.5 cu,Kenmore 32.5 cu,Kenmore 32.5 cu,691.99,7/18/13,9/17/13,y,640.99,789.99,240,,y,123457169,123457169,,y
,Appliances,Dishwasher,Kenmore Elite 33.5 cu,Kenmore Elite 33.5 cu,Kenmore Elite 33.5 cu,696.99,7/19/13,9/18/13,y,645.99,794.99,245,,y,123457179,123457179,,y
,Appliances,Washer,LG 30 cu,LG 30 cu,LG 30 cu,701.99,7/20/13,9/19/13,y,650.99,799.99,250,,y,123457189,123457189,,y
,Appliances,Washer,LG 35.5 cu,LG 35.5 cu,LG 35.5 cu,706.99,7/21/13,9/20/13,y,655.99,804.99,255,,y,123457199,123457199,,y
,Appliances,Washer,Samsung 30 co,Samsung 30 co,Samsung 30 co,711.99,7/22/13,9/21/13,y,660.99,809.99,260,,y,123457209,123457209,,y
,Appliances,Washer,Samsung 39.5 cu,Samsung 39.5 cu,Samsung 39.5 cu,716.99,7/23/13,9/22/13,y,665.99,814.99,265,,y,123457219,123457219,,y
,Appliances,Washer,Maytag 30 cu,Maytag 30 cu,Maytag 30 cu,721.99,7/24/13,9/23/13,y,670.99,819.99,270,,y,123457229,123457229,,y
,Appliances,Dryer,Kenmore 40 cu,Kenmore 40 cu,Kenmore 40 cu,726.99,7/25/13,9/24/13,y,675.99,824.99,275,,y,123457239,123457239,,y
,Appliances,Dryer,Kenmore 34.5 cu,Kenmore 34.5 cu,Kenmore 34.5 cu,731.99,7/26/13,9/25/13,y,680.99,829.99,280,,y,123457249,123457249,,y
,Appliances,Dryer,Kenmore Elite 40 cu,Kenmore Elite 40 cu,Kenmore Elite 40 cu,736.99,7/27/13,9/26/13,y,685.99,834.99,285,,y,123457259,123457259,,y
,Appliances,Dryer,Whirlpool 36.5 cu,Whirlpool 36.5 cu,Whirlpool 36.5 cu,741.99,7/28/13,9/27/13,y,690.99,839.99,290,,y,123457269,123457269,,y
,Appliances,Dryer,Whirlpool 37.5 cu,Whirlpool 37.5 cu,Whirlpool 37.5 cu,746.99,7/29/13,9/28/13,y,695.99,844.99,295,,y,123457279,123457279,,y
